2026-03-26 16:56:56,440 - WARNING - 550973 | HH SSH000139 | Parents [37, 25] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,440 - WARNING - 550973 | HH SSH000140 | Parents [37, 25] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,441 - WARNING - 550973 | HH SSH000141 | Parents [32, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,441 - WARNING - 550973 | HH SSH000142 | Parents [33, 29] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,441 - WARNING - 550973 | HH SSH000143 | Parents [33, 29] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,442 - WARNING - 550973 | HH SSH000144 | Parents [32, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,442 - WARNING - 550973 | HH SSH000145 | Parents [31, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,442 - WARNING - 550973 | HH SSH000146 | Parents [28, 33] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,443 - WARNING - 550973 | HH SSH000147 | Parents [31, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,443 - WARNING - 550973 | HH SSH000148 | Parents [33, 29] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000149 | Parents [31, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000150 | Parents [31, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000151 | Parents [29, 33] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000152 | Parents [31, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000153 | Parents [31, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000154 | Parents [28, 34] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000155 | Parents [30, 32] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
