"Geslacht";"Leeftijd";"Geboorteland (ouders)";"Herkomstland";"Onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Mannen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";3
"Mannen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";0
"Mannen";"75 jaar of ouder";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";7
"Mannen";"75 jaar of ouder";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";4
"Mannen";"75 jaar of ouder";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";0
"Mannen";"75 jaar of ouder";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";5
"Mannen";"75 jaar of ouder";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";1
"Mannen";"75 jaar of ouder";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";1
"Mannen";"75 jaar of ouder";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";5
"Mannen";"75 jaar of ouder";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";6
"Mannen";"75 jaar of ouder";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";1
"Vrouwen";"15 tot 25 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";68
"Vrouwen";"15 tot 25 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";66
"Vrouwen";"15 tot 25 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";160
"Vrouwen";"15 tot 25 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";57
"Vrouwen";"15 tot 25 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";103
"Vrouwen";"15 tot 25 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";206
"Vrouwen";"15 tot 25 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";103
"Vrouwen";"15 tot 25 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";16
"Vrouwen";"15 tot 25 jaar";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";2
"Vrouwen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";9
"Vrouwen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";4
"Vrouwen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";16
"Vrouwen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";2
"Vrouwen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";6
"Vrouwen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";23
"Vrouwen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";7
"Vrouwen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";1
"Vrouwen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";0
"Vrouwen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";27
"Vrouwen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";27
"Vrouwen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";45
"Vrouwen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";13
"Vrouwen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";18
"Vrouwen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";38
